Metal,Gabes_Max,Reference_Max,Pollution_Ratio,Interpretation
Cd,4.3,1.121,3.8358608385370205,3.8x higher than clean sites
Cr,2.171,0.39,5.566666666666666,5.6x higher than clean sites
